,KEY,sarcasm_explanation
0,1_S12E12_030_u,"The video is sarcastic because the speaker's utterance, ""Yeah, so impressive how you manage to bounce back after having no babies,"" conveys condescension and subtle sarcasm, implying that the person's situation is being trivialized. The tone is mocking and patronizing, with a negative sentiment and a sense of disdain or annoyance. The use of the phrase ""no babies"" instead of a more empathetic term adds to the flippant and dismissive tone. Additionally, the speaker's facial expressions, such as raised brows and tightened lips, suggest emotions like contempt and doubt, which further support the conclusion that the video is sarcastic."
1,1_S09E04_074_u,"The video is non-sarcastic because the speaker's utterance ""How could Archie defeat Predator?"" conveys a sense of amusement and playfulness, with a tone that is informal and conversational. The absurdity of the question, pitting a beloved comic book character against a deadly alien hunter, creates a sense of whimsy and humor. The overall sentiment is one of lightheartedness and curiosity, without any strong hints of sarcasm or irony."
2,1_S12E07_424_u,"The video is non-sarcastic because the speaker's tone remains neutral and inquisitive throughout, with a consistent and flat intonation pattern, conveying a composed and factual sentiment. Additionally, the speaker's facial expressions, although exhibiting surprise and doubt, do not suggest irony or mocking, which are typical indicators of sarcasm."
3,1_S11E01_100_u,"The video is non-sarcastic. The speaker's utterance ""Okay, you can stop leading with that part of the story"" conveys frustration and annoyance, with a tone that is abrupt and dismissive. The facial cues, such as raised brows and tightened lids, also suggest a sense of genuine annoyance and frustration, indicating it is not sarcasm."
4,1_S12E22_188_u,"The video is sarcastic. The speaker's utterance ""I can see why she would say that, but why do you?"" conveys curiosity and skepticism, with a neutral tone. The language is straightforward and inquiring on the surface rather than ironic or mocking. The tone and intonation remain neutral and calm throughout the speech,. However, the speaker concludes the sentences with a smirk followed by a slight laugh indicating that he is not actually inquiring, rather he's being sarcastic."
5,1_S10E14_094_u,"
The speaker's utterance ""Well, when you get the machine, you can find out"" is delivered with a mocking and dismissive tone. The lip corner pull also suggest mocking. Overall, the description suggests that the video is sarcastic."
6,2_250_u,"The video is sarcastic because the speaker's utterance ""Oh, you say someone's name enough, they turn around"" conveys a slightly negative sentiment with a hint of sarcasm, implying that the person in question is overly sensitive or reactive. The tone is critical and skeptical, with a tongue-in-cheek quality, suggesting the speaker may not entirely mean what they're saying. Although the speaker's tone and intonation are neutral, the facial cues, such as raised brows, and lip corner pulled, indicate emotions like contempt and doubt, which support the sarcastic label."
7,2_246_u,"The video is sarcastic. The speaker's utterance conveys a sense of determination and resilience, with a neutral to slightly positive sentiment. The tone is matter-of-fact and sincere, focusing on problem-solving and perseverance. However the speaker's brows are raised when he says ""I'll get back on track"", indicating he's being humorous and sarcastic rather than actually being determined."
8,4_S01E07_146_u,"The video is non-sarcastic. The speaker's utterance, ""By'safer' you mean the one that's slightly less likely to kill her?"", conveys a sense of alarm, frustration, and incredulity, with a critical and slightly ironic tone. The phrase ""slightly less likely to kill her"" suggests a tone of annoyance and highlights the inadequacy of the options being discussed. The speaker's facial expressions, such as raised brows and parted lips, also indicate doubt. While the tone starts neutral, it shifts to a more assertive and confrontational tone, emphasizing the speaker's concern and frustration, rather than sarcasm."
9,1_S09E23_102_u,"The video is sarcastic because of the speaker's utterance ""Wow. (clears throat) Didn't even make it out of the parking lot,"" which conveys frustration, disappointment, and embarrassment with a hint of irony and facetiousness. The use of ""(clears throat)"" and the exaggerated tone, pitch, and pace of speech suggest a playful and tongue-in-cheek tone, implying that the situation is ridiculous or unbelievable. Additionally, the speaker's facial expressions, such as raised brows and a tightened upper lid, further reinforce the sarcastic sentiment."
10,1_1180_u,"The video is sarcastic because the speaker's utterance, ""Oh, please. The only way she could make a contribution to science would be if they resumed sending chimps into space,"" conveys contempt and sarcasm through its dismissive and mocking tone. The phrase ""Oh, please"" specifically indicates annoyance and incredulity, while the exaggerated comparison to sending chimps into space belittles the person's abilities. Although the speaker's facial description and tonality suggest a neutral or dispassionate attitude, the utterance itself and the context in which it is delivered imply sarcasm."
11,3_S01E04_327_u,"The video is sarcastic because the speaker's utterance ""You catch on slow. You'll fit right in here"" conveys condescension and sarcasm, implying that the person being addressed is not particularly intelligent or quick-witted. The informal and slightly mocking tone, along with the ironic or sarcastic use of the phrase ""You'll fit right in here"", reinforces this interpretation. Additionally, the speaker's facial expressions, such as raised brows and a pressed lips, suggest emotions like surprise and doubt, which may be indicative of sarcasm."
12,2_69_u,"The video is non-sarcastic because the speaker's tone is assertive, and the sentiment expressed is annoyance, with an assertive delivery. The speaker's facial expressions also convey surprise and annoyance, further supporting the non-sarcastic label. In contrast, the phrase ""Cover yourself up!"" might initially suggest embarrassment or modesty, but the overall tone and context of the video suggest a genuine and serious, rather than playful or ironic, intent."
13,1_S11E21_201_u,"The video is sarcastic because the speaker's utterance, ""I'll go to dinner, and you can stay home with the Internet and have romance,"" conveys bitterness, resentment, and a hint of sarcasm, implying that the person they're addressing would rather stay home alone with the internet than spend time with them. The tone is condescending and dismissive, with a mocking and derisive tone, suggesting the speaker doesn't think highly of the person they're addressing. This contradicts the friendly and inviting tone, warm and slightly smiling intonation, and cheerful mood observed in the video context, creating a sense of irony and sarcasm."
14,3_S01E05_417_u,"The video is sarcastic because of the speaker's use of language, ""Anything to do with error sounds like your whole vibe"", which is mocking with a dash of humor. The use of colloquial phrases and the underlying emotion of teasing or poking fun at someone or something also suggest sarcasm. Although the tone and facial expressions are both neutral and calm, the overall sentiment is positive with a hint of teasing, which is consistent with a sarcastic tone."
15,3_S06E01_317_u,"The video is non-sarcastic because the speaker's utterance ""He's our most profitable developer by far"" conveys a sense of pride and admiration, emphasizing the developer's exceptional performance. The tone is genuine and complimentary, without any irony or mocking undertones. Additionally, the speaker's facial expressions, such as raised brows, suggest a positive emotional state, contradicting the possible emotion of sadness observed in some segments of the video. Overall, the speaker's words and tone align to convey a sincere and positive sentiment, ruling out sarcasm."
