,KEY,sarcasm_explanation
0,4_S01E07_129_u,"The video is non-sarcastic because the speaker's tone, intonation, and facial expressions convey a genuine sense of surprise, doubt, and skepticism, rather than sarcasm. The use of phrases like ""she claims"" and the rising pitch and inflection of the voice suggest a reaction of disbelief rather than irony or mocking. The consistent tone and amplitude throughout the clip, as well as the speaker's facial expressions, such as raised brows and parted lips, further support this conclusion. While the sentiment expressed is negative, it is driven by skepticism and doubt rather than sarcasm."
1,2_477_u,"The video is non-sarcastic because despite having a hint of sarcasm in the phrase ""she is a business woman"", the overall tone is informal, conversational, and playful, with a warm and inviting tone in the speaker's voice. The speaker's facial expressions and body language, such as smiling, raised eyebrows, and a relaxed posture, also convey a sense of amusement and lightheartedness. The context of the video, featuring a man and woman sitting on a couch, smiling and enjoying each other's company, further supports a non-sarcastic tone. The speaker's use of repetitive phrases and exaggerated expressions adds to the comedic effect, but in a playful rather than biting or critical way."
2,1_2778_u,"
The speaker's utterance ""Ooh, big talk from a man who was once treed by a chicken"" conveys amusement and playful teasing, with a lighthearted and humorous tone that subtly pokes fun at someone's supposed bravado. The use of exaggeration (""big talk"" and ""treed by a chicken"") and the shift in tone from neutral to assertive and confident suggest sarcasm. The speaker's facial cues, such as a raised inner brow and tightened lid, further reinforce the sarcastic tone. Overall, the gentle mockery and whimsy in the speaker's words and tone confirm that the video is sarcastic."
3,2_576_u,"The video is non-sarcastic because the speaker's utterance ""And then for forgetting to invite you to it"" conveys a genuine apology with a conciliatory and regretful tone, expressing guilt and remorse. The tone is sincere and apologetic, lacking any hint of sarcasm. The speaker's facial expressions, including raised brows, tightened lids, and a dimple, suggest happiness and doubt, but not sarcasm. The neutral tone, lack of emotional expression, and consistent pitch and volume in the speaker's voice further support the conclusion that the video is non-sarcastic."
4,4_S02E09_020_u,"The video is sarcastic because the speaker's utterance ""Nonexistent... otherwise, excellent"" conveys a sense of irony and playfulness, suggesting a lighthearted and humorous approach. The use of ""nonexistent"" as a qualifier, followed by ""excellent,"" creates a sense of contradiction that implies the speaker is being facetious or tongue-in-cheek. Additionally, the speaker's facial expressions, such as raised brows and a tightened lid, indicate a sense of amusement and playfulness, further supporting the conclusion that the video is sarcastic."
5,4_S01E05_112_u,"The video is sarcastic because of the speaker's utterance ""Is there a Cathlympics?"" which is likely intended to be humorous and ironic, implying that the idea of a ""Cathlympics"" might be absurd or ridiculous. This, combined with the tone being lighthearted and inquiring, and the facial expressions showing a mix of emotions such as happiness and doubt, suggests that the speaker is poking fun at the idea, making the video sarcastic."
6,4_S01E03_069_u,"The video is sarcastic because of the speaker's tone, which is playful and tongue-in-cheek, but also conveys annoyance and impatience. The phrase ""it might be quicker to do it alphabetically"" comes across as a slightly mocking suggestion, and the use of the word ""excellent"" to describe Absidia has a slightly ironic tone, implying that the speaker doesn't actually think it's excellent. Additionally, the speaker's facial expressions, such as raised brows and tightened lips, suggest a sense of frustration and criticism, which supports the conclusion that the video is sarcastic."
7,1_5211_u,"The video is sarcastic because of the speaker's utterance, tone, and facial expressions. The phrase ""a bit heavy-handed"" implies irony and humor, and the speaker's lighthearted and tongue-in-cheek tone suggests gentle mockery or teasing. The assertive yet playful tone, noticeable shift in intonation when introducing laughter, and modulation in volume all contribute to a playful and humorous tone. Additionally, the speaker's facial expressions, such as raised brows, tightened lids, and a wrinkled nose, indicate doubt and playfulness, further supporting the sarcastic label."
8,1_276_u,"The video is sarcastic because the speaker's utterance ""Yeah, my parents felt that naming me Leonard and putting me in Advanced Placement classes wasn't getting me beaten up enough"" conveys irony, frustration, and sarcasm. The absurd and exaggerated statement, along with the informal and conversational tone, suggests that the speaker is being facetious and expressing annoyance and resentment towards their parents. Additionally, the speaker's facial expressions, such as raised brows and tightened lids, indicate emotions like doubt and sadness, which further support the sarcastic tone."
9,3_S03E03_511_u,"The video is non-sarcastic because the speaker's utterance is characterized by anger and frustration, conveyed through strong language and a demanding tone. The use of intensifiers like ""fucking"" and the emphasis on the plan's success suggest a genuine emotional investment, rather than irony or sarcasm. Additionally, the speaker's facial expressions and tonality, marked by a shift from resignation to determination, further support the conclusion that the video is non-sarcastic."
